CaseID,concern_bomb,concern_cyber,severity_bomb,severity_cyber,publicKnow_bomb,publicKnow_cyber,expertKnow_bomb,expertKnow_cyber,cas_bomb,cas_cyber,likely_bomb,likely_cyber,risk_bomb,risk_cyber,DOV_XPARTY7,DOV_IDEO,DOV_REL2,PPAGE,ppagect4,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPREG4,ppreg9,PPNET,KnowGen,Pol_econ,Pol_survMusl,Pol_force,Pol_screenUS,Pol_screenForg,Pol_immig,Pol_refugME,Pol_trackPh,issue_econ,issue_immig,issue_debt,issue_energy,issue_health,issue_climate,issue_terror,issue_envi,issue_ineq,issue_women,inform_papers,inform_Fox,inform_CNN,inform_MSNBC,inform_network,inform_online,inform_radio,inform_socialMedia,safetyGen,Fear_self,Fear_family,Fear_friend
1274,3,2,3,3,4,1,1,2,2,5,2,2,3,3,5,2,6,36,2,4,1,0,13,3,7,1,3,3,1,1,3,3,2,3,3,2,2,2,3,1,4,2,4,2,3,,1,4,1,2,2,2,2,2,1,1,1
1276,3,4,4,4,3,2,3,2,3,3,3,4,4,4,1,6,1,52,3,4,1,0,15,2,3,0,4,1,2,3,3,5,4,4,5,4,3,4,4,4,2,4,4,3,2,4,4,4,4,4,3,4,1,3,2,2,2
1277,3,3,3,3,1,1,1,1,3,4,3,3,4,4,3,7,3,55,3,4,1,0,19,3,6,1,4,1,4,1,5,5,5,5,1,3,4,3,2,2,1,3,1,1,1,4,4,1,1,1,4,4,1,3,1,2,2
1279,2,1,4,1,4,1,3,3,5,3,3,1,3,1,5,1,5,34,2,4,5,0,16,4,9,1,2,2,1,1,2,2,1,1,4,3,4,3,2,3,3,4,3,3,4,3,2,2,2,3,3,2,1,2,2,2,2
1280,2,2,,,1,1,2,2,,,3,2,3,3,2,4,2,72,4,1,1,0,6,3,6,1,1,3,3,2,5,4,4,4,4,3,3,3,3,4,2,3,3,2,3,2,2,2,1,3,2,2,2,2,1,1,1
1281,2,2,3,4,2,2,2,2,3,4,3,2,4,3,1,6,3,21,1,3,1,0,15,3,5,1,3,2,1,2,2,5,3,4,5,3,4,4,2,3,2,3,3,3,2,3,1,2,1,3,1,4,1,3,1,1,3
1282,2,2,4,4,2,2,3,3,3,4,3,3,4,4,7,2,4,19,1,3,3,1,18,2,3,1,2,3,1,1,4,4,1,1,4,3,3,2,3,2,3,3,3,3,3,1,2,2,1,2,3,1,3,2,2,2,2
1283,2,3,3,4,3,2,4,4,5,4,3,4,3,5,6,2,4,26,1,1,2,1,8,2,3,1,2,1,2,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,2,2,1,4,4,1,1,1
1284,2,1,3,3,2,1,2,2,3,5,1,1,2,2,7,2,5,65,4,4,1,1,14,2,3,1,1,2,1,1,5,5,1,1,5,3,2,2,2,3,2,3,2,3,3,3,1,3,3,4,1,3,,3,1,1,1
1285,3,2,4,3,4,2,3,3,4,3,3,3,3,3,7,4,5,57,3,3,2,0,12,1,1,0,2,1,1,2,4,5,3,3,3,4,3,4,3,4,3,4,4,3,4,2,1,2,1,4,1,2,1,3,1,1,1
1286,2,3,3,3,3,1,3,3,3,2,3,3,3,4,3,6,2,19,1,2,1,0,17,4,9,1,2,1,1,2,3,3,3,4,1,3,2,3,2,3,2,3,2,1,2,2,1,1,1,1,3,3,3,1,2,2,2
1287,3,3,4,4,2,2,3,3,3,5,3,3,4,4,3,3,6,45,3,3,1,0,13,3,5,1,2,1,3,3,4,5,4,4,4,3,3,3,3,3,3,4,3,2,2,2,2,2,2,3,2,2,1,1,1,2,2
1288,2,2,3,3,2,2,2,2,3,4,2,1,3,2,7,4,6,58,3,3,1,0,11,3,5,0,2,2,3,2,5,5,5,5,5,3,3,3,2,3,2,2,2,3,2,3,2,1,1,3,2,2,2,2,2,2,2
1289,3,3,4,4,2,2,3,3,3,4,4,4,5,5,1,6,3,21,1,3,1,0,19,3,5,1,3,1,4,2,4,5,5,5,4,4,4,4,3,2,1,3,1,1,1,1,3,1,1,1,3,1,3,3,1,1,1
1290,2,1,3,3,3,2,3,2,3,5,2,1,2,2,5,4,6,57,3,4,5,0,19,1,1,1,3,4,1,1,2,1,1,1,2,2,1,2,2,2,4,1,3,3,4,3,1,1,1,3,2,4,1,1,1,1,1
1292,3,3,4,3,3,2,3,3,4,4,3,2,3,3,5,4,2,22,1,3,1,0,12,3,5,1,1,2,2,3,2,4,2,4,3,4,2,2,2,3,2,2,2,2,2,1,1,2,1,2,2,2,3,3,3,3,3
1293,2,2,3,3,2,2,3,3,5,4,3,2,3,3,1,7,2,71,4,2,1,0,11,2,4,1,2,3,2,3,5,5,5,5,5,4,4,4,3,4,2,4,3,3,4,2,2,2,1,2,1,1,1,3,1,1,1
1294,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,68,4,4,3,0,9,2,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2
1295,3,3,4,4,4,2,3,4,4,5,3,2,3,4,7,2,2,71,4,3,1,1,16,2,4,1,2,1,1,2,4,3,1,1,5,3,3,4,3,4,4,4,4,3,4,4,1,1,1,4,2,1,1,3,2,2,2
1296,1,1,3,3,1,1,1,1,4,,1,1,1,1,3,4,4,58,3,2,1,1,12,3,5,1,3,2,2,2,3,3,3,3,3,4,1,4,4,4,4,4,4,4,4,2,2,2,2,4,3,1,2,3,1,1,1
1297,2,2,4,4,3,3,3,3,5,4,2,1,3,3,7,2,4,74,4,3,1,1,11,4,8,1,2,2,2,2,4,5,1,2,5,2,2,2,2,3,2,3,2,2,2,4,2,3,2,3,2,2,3,2,1,2,2
1298,2,3,4,4,2,3,4,2,5,4,3,4,4,4,6,2,2,69,4,4,1,0,15,2,3,1,2,3,2,1,3,2,1,2,1,3,2,2,4,3,2,4,2,2,2,1,1,1,1,2,1,2,1,3,2,4,4
